id,visitors
air_00a91d42b08b08d9_2017-04-23,3.6952331493473958
air_00a91d42b08b08d9_2017-04-24,23.5364914671316
air_00a91d42b08b08d9_2017-04-25,26.991271482414756
air_00a91d42b08b08d9_2017-04-26,30.970038448870156
air_00a91d42b08b08d9_2017-04-27,32.53983833473039
air_00a91d42b08b08d9_2017-04-28,35.111151886640144
air_00a91d42b08b08d9_2017-04-29,9.00365594470574
air_00a91d42b08b08d9_2017-04-30,3.6664438175048435
air_00a91d42b08b08d9_2017-05-01,22.26808794355067
air_00a91d42b08b08d9_2017-05-02,30.550121026531553
air_00a91d42b08b08d9_2017-05-03,15.191837781627026
air_00a91d42b08b08d9_2017-05-04,13.908918784026495
air_00a91d42b08b08d9_2017-05-05,13.138697324596437
air_00a91d42b08b08d9_2017-05-06,9.529075442884327
air_00a91d42b08b08d9_2017-05-07,3.543036318147493
air_00a91d42b08b08d9_2017-05-08,22.018427255763424
air_00a91d42b08b08d9_2017-05-09,25.765714873811085
air_00a91d42b08b08d9_2017-05-10,29.055005016894977
air_00a91d42b08b08d9_2017-05-11,31.51060002322435
air_00a91d42b08b08d9_2017-05-12,37.689126289388
air_00a91d42b08b08d9_2017-05-13,10.362038293037278
air_00a91d42b08b08d9_2017-05-14,3.6297865126039772
air_00a91d42b08b08d9_2017-05-15,22.6189766819299
air_00a91d42b08b08d9_2017-05-16,26.366450455377112
air_00a91d42b08b08d9_2017-05-17,28.57632868235335
air_00a91d42b08b08d9_2017-05-18,31.7575931957632
air_00a91d42b08b08d9_2017-05-19,36.85102918640104
air_00a91d42b08b08d9_2017-05-20,10.32821098256914
air_00a91d42b08b08d9_2017-05-21,3.6746746060885016
air_00a91d42b08b08d9_2017-05-22,22.446796980736167
air_00a91d42b08b08d9_2017-05-23,25.331916418197807
air_00a91d42b08b08d9_2017-05-24,28.476879062446542
air_00a91d42b08b08d9_2017-05-25,30.148036847744024
air_00a91d42b08b08d9_2017-05-26,36.86999417639207
air_00a91d42b08b08d9_2017-05-27,10.362720961643374
